id,study_id,contrast_id,Author,Year,Citation,# Foci,Contrast Name,sample_sizes
18.0-2.0,18.0,2.0,Ordin,2020.0,"Ordin, M., Polyanskaya, L., & Soto, D. (2020). Neural bases of learning and recognition of statistical regularities. Annals of the New York Academy of Sciences. https://doi.org/10.1111/nyas.14299",1,w_acc > nonw_rej,24.0
18.0-3.0,18.0,3.0,Ordin,2020.0,"Ordin, M., Polyanskaya, L., & Soto, D. (2020). Neural bases of learning and recognition of statistical regularities. Annals of the New York Academy of Sciences. https://doi.org/10.1111/nyas.14299",3,w_acc > ph_rej,24.0
19.0-1.0,19.0,1.0,Petersson,2004.0,"Petersson, K. M., Forkstam, C., & Ingvar, M. (2004). Artificial syntactic violations activate Broca’s region. Cognitive Science, 28(3), 383–407. https://doi.org/10.1207/s15516709cog2803_4",23,"[grammaticality judgement > ""Is it a string of P's or L's?""]",12.0
19.0-3.0,19.0,3.0,Petersson,2004.0,"Petersson, K. M., Forkstam, C., & Ingvar, M. (2004). Artificial syntactic violations activate Broca’s region. Cognitive Science, 28(3), 383–407. https://doi.org/10.1207/s15516709cog2803_4",1,([grammatical correct > grammatical incorrect] > [ungrammatical correct > ungrammatical incorrect]) = areas that show a greater difference between correct and incorrect answers for grammatical compared to ungrammatical items.,12.0
19.0-4.0,19.0,4.0,Petersson,2004.0,"Petersson, K. M., Forkstam, C., & Ingvar, M. (2004). Artificial syntactic violations activate Broca’s region. Cognitive Science, 28(3), 383–407. https://doi.org/10.1207/s15516709cog2803_4",1,"conjunction across all subjects: ([GJT > ""Is it a string of P's or L's?""] AND [correct > incorrect]) = within areas activated only while correctly performing the task, where are there significant activations for grammaticality performance over perceptual baseline?",12.0
20.0-1.0,20.0,1.0,Seger,2000.0,"Seger, C. A., Prabhakaran, V., Poldrack, R. A., & Gabrieli, J. D. E. (2000). Neural activity differs between explicit and implicit learning of artificial grammar strings: An fMRI study. Psychobiology, 28(3), 283–292. https://doi.org/10.3758/BF03331987",9,[Grammatical judgment] > [is TT in the string],7.0
20.0-5.0,20.0,5.0,Seger,2000.0,"Seger, C. A., Prabhakaran, V., Poldrack, R. A., & Gabrieli, J. D. E. (2000). Neural activity differs between explicit and implicit learning of artificial grammar strings: An fMRI study. Psychobiology, 28(3), 283–292. https://doi.org/10.3758/BF03331987",12,[Grammatical judgment using unstudied letters] > [is DD in the string],7.0
20.0-7.0,20.0,7.0,Seger,2000.0,"Seger, C. A., Prabhakaran, V., Poldrack, R. A., & Gabrieli, J. D. E. (2000). Neural activity differs between explicit and implicit learning of artificial grammar strings: An fMRI study. Psychobiology, 28(3), 283–292. https://doi.org/10.3758/BF03331987",6,[Letter string recognition] > [is there a GG in the string],7.0
21.0-1.0,21.0,1.0,Skosnik,2002.0,"Skosnik, P. D., Mirza, F., Gitelman, D. R., Parrish, T. B., Mesulam, M.-M., & Reber, P. J. (2002). Neural correlates of artificial grammar learning. NeuroImage, 17(3), 1306–1314. https://doi.org/10.1006/nimg.2002.1291",2,[grammatical] > [ungrammatical],12.0
21.0-3.0,21.0,3.0,Skosnik,2002.0,"Skosnik, P. D., Mirza, F., Gitelman, D. R., Parrish, T. B., Mesulam, M.-M., & Reber, P. J. (2002). Neural correlates of artificial grammar learning. NeuroImage, 17(3), 1306–1314. https://doi.org/10.1006/nimg.2002.1291",1,[grammatical judgment] > [explicit recognition of grammatical and ungrammatical letter strings],12.0
22.0-3.0,22.0,3.0,Tettamanti,2002.0,"Tettamanti, M., Alkadhi, H., Moro, A., Perani, D., Kollias, S., & Weniger, D. (2002). Neural Correlates for the Acquisition of Natural Language Syntax. NeuroImage, 17(2), 700–709. https://doi.org/10.1006/nimg.2002.1201",4,[reading sentences with new syntactic rule following UG] > [reading sentences with new syntactic rule that does not follow UG],14.0
22.0-7.0,22.0,7.0,Tettamanti,2002.0,"Tettamanti, M., Alkadhi, H., Moro, A., Perani, D., Kollias, S., & Weniger, D. (2002). Neural Correlates for the Acquisition of Natural Language Syntax. NeuroImage, 17(2), 700–709. https://doi.org/10.1006/nimg.2002.1201",5,[linear activation increase over time for reading sentences with new syntactic rule following UG] > [linear activation increase over time for reading sentences with new syntactic rule that does not follow UG],14.0
25.0-1.0,25.0,1.0,Turk-Browne,2009.0,"Turk-Browne, N. B., Scholl, B. J., Chun, M. M., & Johnson, M. K. (2009). Neural evidence of statistical learning: Efficient detection of visual regularities without awareness. Journal of Cognitive Neuroscience, 21(10), 1934–1945. https://doi.org/10.1162/jocn.2009.21131",18,Structured > Random,16.0
27.0-1.0,27.0,1.0,Yang,2012.0,"Yang, J., & Li, P. (2012). Brain networks of explicit and implicit learning. PloS One, 7(8), e42993. https://doi.org/10.1371/journal.pone.0042993",16,Grammaticality judgment > fixation (explicit learners),20.0
27.0-2.0,27.0,2.0,Yang,2012.0,"Yang, J., & Li, P. (2012). Brain networks of explicit and implicit learning. PloS One, 7(8), e42993. https://doi.org/10.1371/journal.pone.0042993",17,Grammaticality judgment > fixation (implicit learners),23.0
28.0-1.0,28.0,1.0,Yusa,2011.0,"Yusa, N., Koizumi, M., Kim, J., Kimura, N., Uchida, S., Yokoyama, S., Miura, N., Kawashima, R., & Hagiwara, H. (2011). Second-language Instinct and Instruction Effects: Nature and Nurture in Second-language Acquisition. Journal of Cognitive Neuroscience, 23(10), 2716–2730. https://doi.org/10.1162/jocn.2011.21607",7,[Test 2 (Grammatical inversion > fixation)] > [Test 1 (Grammatical inversion > fixation)],17.0
3.0-1.0,3.0,1.0,Finn,2013.0,"Finn, A. S., Hudson Kam, C. L., Ettlinger, M., Vytlacil, J., & D’Esposito, M. (2013). Learning language with the wrong neural scaffolding: The cost of neural commitment to sounds. Frontiers in Systems Neuroscience, 7. https://doi.org/10.3389/fnsys.2013.00085",20,[grammatical > implicit baseline] during grammatical judgment for mini-language sentences (this mini-language uses similar phonology to L1-EnGish).,10.0
3.0-2.0,3.0,2.0,Finn,2013.0,"Finn, A. S., Hudson Kam, C. L., Ettlinger, M., Vytlacil, J., & D’Esposito, M. (2013). Learning language with the wrong neural scaffolding: The cost of neural commitment to sounds. Frontiers in Systems Neuroscience, 7. https://doi.org/10.3389/fnsys.2013.00085",19,[grammatical > implicit baseline] during grammatical judgment for mini-language sentences (this mini-language uses dissimilar phonology to L1-EnGish).,10.0
4.0-1.0,4.0,1.0,Fletcher,1999.0,"Fletcher, P., Büchel, C., Josephs, O., Friston, K., & Dolan, R. (1999). Learning-related neuronal responses in prefrontal cortex studied with functional neuroimaging. Cerebral Cortex (New York, N.Y.: 1991), 9(2), 168–178. https://doi.org/10.1093/cercor/9.2.168",16,Consonant-string classification v. sensorimotor task control collapsed over 6 blocks,7.0
4.0-3.0,4.0,3.0,Fletcher,1999.0,"Fletcher, P., Büchel, C., Josephs, O., Friston, K., & Dolan, R. (1999). Learning-related neuronal responses in prefrontal cortex studied with functional neuroimaging. Cerebral Cortex (New York, N.Y.: 1991), 9(2), 168–178. https://doi.org/10.1093/cercor/9.2.168",2,"Increasing activation across all blocks for [Consonant-string classification v. sensorimotor task control]; 6 blocks of 10 items (50% grammatical) each repeated 6 times with immediate feedback; thus, this is activity related to implicitly learning grammaticality rules that applied to novel stimuli in each subsequent block.",7.0
7.0-1.0,7.0,1.0,Forkstam,2006.0,"Forkstam, C., Hagoort, P., Fernandez, G., Ingvar, M., & Petersson, K. M. (2006). Neural correlates of artificial syntactic structure classification. NeuroImage, 32(2), 956–967. https://doi.org/10.1016/j.neuroimage.2006.03.057",22,[grammaticality judgment] > [is it a string of P's or L's] across both days 1 and 8,12.0
7.0-18.0,7.0,18.0,Forkstam,2006.0,"Forkstam, C., Hagoort, P., Fernandez, G., Ingvar, M., & Petersson, K. M. (2006). Neural correlates of artificial syntactic structure classification. NeuroImage, 32(2), 956–967. https://doi.org/10.1016/j.neuroimage.2006.03.057",1,Day 1 only: [grammatical > ungrammatical] balanced for chunk strength,12.0
7.0-20.0,7.0,20.0,Forkstam,2006.0,"Forkstam, C., Hagoort, P., Fernandez, G., Ingvar, M., & Petersson, K. M. (2006). Neural correlates of artificial syntactic structure classification. NeuroImage, 32(2), 956–967. https://doi.org/10.1016/j.neuroimage.2006.03.057",4,Day 8 only: [grammatical > ungrammatical] balanced for chunk strength,12.0
7.0-4.0,7.0,4.0,Forkstam,2006.0,"Forkstam, C., Hagoort, P., Fernandez, G., Ingvar, M., & Petersson, K. M. (2006). Neural correlates of artificial syntactic structure classification. NeuroImage, 32(2), 956–967. https://doi.org/10.1016/j.neuroimage.2006.03.057",3,[grammatical] > [ungrammatical] on day 8,12.0
8.0-1.0,8.0,1.0,Goranskaya,2016.0,"Goranskaya, D., Kreitewolf, J., Mueller, J. L., Friederici, A. D., & Hartwigsen, G. (2016). Fronto-parietal contributions to phonological processes in successful artificial grammar learning. Frontiers in Human Neuroscience, 10. https://doi.org/10.3389/fnhum.2016.00551",14,Learn + Test > Baseline,61.0
9.0-1.0,9.0,1.0,Hauser,2012.0,"Hauser, M. F. A., Hofmann, J., & Opitz, B. (2012). Rule and similarity in grammar: Their interplay and individual differences in the brain. NeuroImage, 60(4), 2019–2026. https://doi.org/10.1016/j.neuroimage.2012.02.016",6,[Viewing grammatical sentences of pseudowords] > [Viewing ungrammatical sentences of pseudowords] during grammaticality judgement task.`,17.0
